id,name,price,category,day_start,day_end,can_weekday,description
1,麻婆豆腐,590,定食,,,,1番
2,豆腐のうま煮,590,定食,,,,2番
3,肉野菜炒め,590,定食,,,,3番
4,豚肉とザーサイの細切り炒め,590,定食,,,,4番
5,麻婆春雨,590,定食,,,,5番
6,かに玉子,590,定食,,,,6番
7,ニラ玉子,590,定食,,,,7番
8,玉ねぎと玉子炒め,590,定食,,,,8番
9,豚肉と玉ねぎの生姜焼き,730,定食,,,月,月曜11番
10,揚げ豆腐と肉野菜炒め,730,定食,,,月,月曜12番
11,豚肉と黒コショー炒め,730,定食,,,月,月曜13番
12,豚肉の角煮かけご飯,730,定食,,,月,月曜14番
13,牛肉とニンニクの芽の細切り炒め,730,定食,,,火,火曜11番
14,四川風豚肉スライス炒め,730,定食,,,火,火曜12番
15,豚肉と野菜と玉子炒め,730,定食,,,火,火曜13番
16,四川風なす炒め,730,定食,,,火,火曜14番
17,まめいかともやしのピリ辛炒め,730,定食,,,水,水曜11番
18,すぶた,730,定食,,,水,水曜12番
19,牛肉と玉ねぎの黒コショー炒め,730,定食,,,水,水曜13番
20,木くらげと豚肉と玉子炒め,730,定食,,,水,水曜14番
21,鶏肉のピリ辛炒め,730,定食,,,木,木曜11番
22,海老と玉子のチリソース,730,定食,,,木,木曜12番
23,豚肉と太春雨炒め,730,定食,,,木,木曜13番
24,豚肉と野菜の生姜焼き,730,定食,,,木,木曜14番
25,豚肉とピーマンの細切り炒め,730,定食,,,金,金曜11番
26,鶏肉のチリソース,730,定食,,,金,金曜12番
27,三品海鮮炒め,730,定食,,,金,金曜13番
28,牛肉のオイスターソース炒め,730,定食,,,金,金曜14番
29,麻婆なす,730,定食,,,土,土曜11番
30,鶏肉の唐辛子炒め,730,定食,,,土,土曜12番
31,ニラレバ炒め,730,定食,,,土,土曜13番
32,海老と玉子炒め,730,定食,,,土,土曜14番
33,鶏肉の中国みそ炒め,730,定食,,,日,日曜11番
34,白身魚の四川風炒め,730,定食,,,日,日曜12番
35,八宝菜,730,定食,,,日,日曜13番
36,豚肉とキャベツの辛みそ炒め,730,定食,,,日,日曜14番
37,食神炒飯,680,ご飯類,,,,
38,ニンニク入り炒飯,680,ご飯類,,,,
39,四川辛み炒飯,680,ご飯類,,,,
40,高菜炒飯,680,ご飯類,,,,
41,かに炒飯,680,ご飯類,,,,
42,海老炒飯,680,ご飯類,,,,
43,五目炒飯,680,ご飯類,,,,
44,豚バラ肉入り炒飯,680,ご飯類,,,,
45,豚肉角煮かけご飯,680,ご飯類,,,,
46,天津飯(醤油味),680,ご飯類,,,,
47,天津飯(ケチャプ味),680,ご飯類,,,,
48,中華丼,680,ご飯類,,,,
49,海鮮丼,780,ご飯類,,,,
50,海老チリ丼,780,ご飯類,,,,
51,麻婆豆腐丼,580,ご飯類,,,,
52,麻婆茄子丼,680,ご飯類,,,,
53,青菜豆腐スープ,550,スープ類,,,,
54,青菜と玉子スープ,550,スープ類,,,,
55,コーンスープ,550,スープ類,,,,
56,酸辣スープ,550,スープ類,,,,
57,豚レバとトマトスープ,680,スープ類,,,,
58,フカヒレスープ,780,スープ類,,,,
59,水煮牛肉,780,肉類,,,,
60,水煮牛肉 ライス付き,900,肉類,,,,
